Lat,Long,Confirmed,Deaths,Recovered,cluster
14.6415,-61.0242,0,0,0,2
18.9712,-72.2852,1174,33,22,2
11.8037,-15.1804,1195,7,42,2
23.885942,45.079162,9362,97,1398,2
23.8298,108.7881,254,2,252,2
-14.235,-51.9253,465166,27878,189476,1
-1.9403,29.8739,0,0,0,2
53.9333,-116.5765,0,0,0,2
11.8037,-15.1804,0,0,0,2
16.742498,-62.187366,11,1,2,2
55.1694,23.8813,1815,78,1503,2
-12.4634,130.8456,0,0,0,2
17.357822,-62.782998,0,0,0,2
-33.8688,151.2093,112,2,4,2
-0.228,15.8277,0,0,0,2
46.2276,2.2137,201285,30046,71639,1
51.9194,19.1451,32527,1375,17573,2
44.0935,113.9448,232,1,206,2
10.6918,-61.2225,114,8,20,2
-20.348404,57.552152,332,10,322,2
15.415,-61.371,0,0,0,2
40.463667,-3.74922,2,0,2,2
31.24,36.51,1131,11,1035,2
35.1917,108.8701,256,3,252,2
-26.5225,31.4659,187,2,48,2
46.8852,-56.3159,0,0,0,2
42.5063,1.5218,880,52,803,2
25.3548,51.1839,11244,10,1066,2
53.9333,-116.5765,8596,161,0,2
-27.4698,153.0251,987,5,372,2
8.538,-80.7821,0,0,0,2
30.0572,107.874,579,6,573,2
8.460555000000001,-11.779889,1678,64,1213,2
32.3078,-64.7505,146,9,133,2
41.6086,21.7453,1,0,0,2
12.9843,-61.2872,0,0,0,2
-21.1151,55.5364,0,0,0,2
34.802075,38.99681500000001,47,3,0,2
25.3548,51.1839,90778,104,73083,2
42.708678000000006,19.37439,326,9,315,2
4.860416000000002,-58.93018000000001,139,11,67,2
-11.6455,43.3333,87,2,24,2
26.3351,17.228331,0,0,0,2
38.861,71.2761,0,0,0,2
44.0165,21.0059,11571,246,6910,2
-12.8275,45.166244,94,1,10,2
44.0165,21.0059,384,4,15,2
11.8037,-15.1804,0,0,0,2
46.8625,103.8467,230,0,202,2
46.8182,8.2275,34000,1975,30500,2
9.3077,2.3158,0,0,0,2
29.1832,120.0934,1145,0,360,2
60.472,8.4689,9015,254,8138,2
23.6345,-102.5528,4,0,0,2
26.0275,50.55,14383,24,9056,2
3.9193,-56.0278,187,3,9,2
27.5142,90.4336,7,0,3,2
3.9193,-56.0278,0,0,0,2
23.6345,-102.5528,0,0,0,2
15.1794,39.7823,251,0,155,2
46.5107,-63.4168,36,0,0,2
-42.8821,147.3272,227,13,182,2
53.7609,-98.8139,273,6,0,2
46.8182,8.2275,8,0,0,2
-4.0383,21.7587,991,41,136,2
-22.9576,18.4904,23,0,14,2
22.3,114.2,1247,7,1125,2
48.3794,31.1656,63169,1570,35035,2
35.9375,14.3754,90,0,2,2
23.3417,113.4244,1322,4,524,2
9.3077,2.3158,130,2,57,2
-22.9576,18.4904,2,0,0,2
23.3417,113.4244,1592,8,1581,2
12.9843,-61.2872,0,0,0,2
17.0608,-61.7964,68,3,23,2
51.9194,19.1451,20619,982,8731,2
53.7098,27.9534,64224,443,52854,2
47.5162,14.5501,0,0,0,2
-35.6751,-71.543,92855,806,30915,2
-22.9576,18.4904,14,0,2,2
33.223191,43.679291,71,8,15,2
15.7835,-90.2308,2265,45,159,2
-51.7963,-59.5236,13,0,11,2
17.607789,8.081666,920,58,738,2
21.69400000000001,-71.7979,0,0,0,2
6.4280550000000005,-9.429499,0,0,0,2
-1.8312,-78.1834,9468,474,1061,2
-35.4735,149.0124,78,1,2,2
4.860416000000002,-58.93018000000001,73,7,12,2
22.3,114.2,1047,4,985,2
24.2155,-12.8858,6,0,5,2
47.14,9.55,0,0,0,2
-0.228,15.8277,264,10,30,2
35.9375,14.3754,0,0,0,2
22.1667,113.55,45,0,37,2
39.3999,-8.2245,0,0,0,2
32.9711,119.455,631,0,630,2
33.886917,9.537499,1306,50,1087,2
53.1355,-57.6604,260,3,0,2
12.9843,-61.2872,0,0,0,2
25.025885,-78.035889,0,0,0,2
17.357822,-62.782998,10,0,0,2
32.3078,-64.7505,0,0,0,2
61.8926,-6.9118,140,0,47,2
32.427908,53.68804599999999,0,0,0,2
-40.9006,174.886,1504,21,1461,2
49.8153,6.1296,2804,36,500,2
-0.0236,37.9062,4952,128,1782,2
15.415,-61.371,0,0,0,2
-9.19,-75.0152,45928,1286,13550,2
-11.2027,17.8739,48,2,14,2
-14.235,-51.9253,772416,39680,413916,4
35.1917,108.8701,320,3,308,2
16.742498,-62.187366,12,1,10,2
24.974,101.487,185,2,183,2
47.1625,19.5033,4315,596,3222,2
35.1917,108.8701,245,1,173,2
35.7452,95.9956,18,0,18,2
19.1959,109.7453,171,6,165,2
23.6345,-102.5528,7,0,1,2
33.223191,43.679291,13481,370,5572,2
0.1864,6.6131,0,0,0,2
15.415,-61.371,16,0,8,2
4.210483999999999,101.975766,238,0,35,2
60.472,8.4689,996,0,1,2
-17.6797,149.4068,30,0,0,2
23.3417,113.4244,1524,8,1387,2
18.2206,-63.0686,0,0,0,2
9.9456,-9.6966,1495,7,329,2
16.5388,-23.0418,3,0,0,2
37.2692,106.1655,75,0,75,2
46.2276,2.2137,186118,29010,67510,1
11.8037,-15.1804,0,0,0,2
12.2383,-1.5616,967,53,846,2
46.5653,-66.4619,118,0,0,2
21.0079,-10.9408,6,1,2,2
18.2206,-63.0686,0,0,0,2
53.7267,-127.6476,1,0,0,2
16.265,-61.551,125,6,24,2
64.2823,-135.0,0,0,0,2
18.2206,-63.0686,0,0,0,2
-27.4698,153.0251,2,0,0,2
15.4542,18.7322,0,0,0,2
47.1625,19.5033,0,0,0,2
43.6661,126.1923,155,2,153,2
42.708678000000006,19.37439,0,0,0,2
12.2383,-1.5616,0,0,0,2
23.8298,108.7881,255,2,252,2
-11.2027,17.8739,386,21,117,2
17.9,-62.8333,1,0,0,2
42.7339,25.4858,3984,207,2171,2
7.54,-5.5471,1275,14,574,2
40.463667,-3.74922,0,0,0,2
53.1355,-57.6604,244,3,0,2
26.0789,117.9874,261,0,39,2
30.3753,69.3451,0,0,0,2
13.4432,-15.3101,24,1,13,2
-0.7893,113.9213,9511,773,1254,2
7.54,-5.5471,3557,36,1750,2
1.6508,10.2679,0,0,0,2
9.7489,-83.7534,0,0,0,2
53.9333,-116.5765,4017,72,0,2
31.202,121.4491,96,1,5,2
12.2383,-1.5616,736,48,562,2
-20.348404,57.552152,273,7,19,2
23.7,121.0,445,7,434,2
-16.2902,-63.5887,2831,122,299,2
35.1264,33.4299,883,15,296,2
42.602636,20.902977,184,5,30,2
20.593684,78.96288,9205,331,1080,2
-18.665695,35.529562,0,0,0,2
61.92411,25.748151,792,1,10,2
53.7609,-98.8139,0,0,0,2
49.8175,15.473,5831,129,411,2
52.1326,5.2913,34842,4054,0,2
-4.6796,55.492,11,0,8,2
41.9029,12.4534,1,0,0,2
9.145,40.4897,131,3,59,2
1.373333,32.290275,55,0,22,2
30.3753,69.3451,0,0,0,2
-20.904305,165.618042,0,0,0,2
29.1832,120.0934,1268,1,1267,2
10.6918,-61.2225,0,0,0,2
-12.8275,45.166244,854,10,352,2
14.058324,108.277199,153,0,20,2
6.6111,20.9394,3,0,0,2
-16.2902,-63.5887,62357,2273,19290,2
43.6661,126.1923,91,1,43,2
-9.19,-75.0152,244388,7461,131190,1
61.52401,105.318756,2,0,0,2
17.607789,8.081666,639,19,113,2
4.5709,-74.2973,120281,4210,47961,2
47.4116,28.3699,17814,585,10718,2
47.4116,28.3699,0,0,0,2
-18.665695,35.529562,0,0,0,2
-22.3285,24.6849,35,1,20,2
7.873054,80.77179699999998,1683,11,823,2
26.0789,117.9874,287,0,82,2
12.1165,-61.679,0,0,0,2
26.8154,106.8748,146,2,72,2
14.4974,-14.4524,9422,182,6291,2
71.7069,-42.6043,11,0,11,2
56.8796,24.6032,812,12,267,2
11.8037,-15.1804,1389,12,153,2
1.373333,32.290275,227,0,63,2
30.9756,112.2707,68135,4512,63619,2
15.4542,18.7322,836,69,672,2
-22.3285,24.6849,0,0,0,2
13.7942,-88.8965,424,10,124,2
49.3723,-2.3644,0,0,0,2
17.1899,-88.4976,18,2,16,2
49.8153,6.1296,0,0,0,2
8.6195,0.8248,497,13,251,2
17.357822,-62.782998,15,0,14,2
51.2538,-85.3232,34382,2607,0,2
18.4207,-64.64,8,1,7,2
30.9756,112.2707,68135,4512,63617,2
-0.228,15.8277,728,24,221,2
21.512583,55.92325500000001,0,0,0,2
24.974,101.487,174,2,172,2
3.2028,73.2207,617,2,20,2
34.802075,38.99681500000001,123,5,0,2
-19.015438,29.154857,9,1,0,2
15.870032,100.992541,3261,58,3105,2
18.0425,-63.0548,76,14,44,2
23.424076,53.847818,405,2,52,2
39.3999,-8.2245,27581,1135,2549,2
-38.4161,-63.6167,4003,197,1140,2
13.7942,-88.8965,0,0,0,2
47.5162,14.5501,0,0,0,2
43.9159,17.6791,6402,216,3037,2
15.2,-86.2419,0,0,0,2
3.9339,-53.1258,384,1,146,2
42.5063,1.5218,0,0,0,2
40.1824,116.4142,584,8,434,2
30.9756,112.2707,68135,4512,63616,2
6.6111,20.9394,4109,52,1050,2
40.0,-100.0,13,0,3,2
17.0608,-61.7964,68,3,23,2
21.512583,55.92325500000001,17486,81,3793,2
27.614,115.7221,937,1,936,2
29.31166,47.481766,0,0,0,2
17.0608,-61.7964,26,3,22,2
40.1431,47.5769,6860,82,3871,2
3.9339,-53.1258,279,1,143,2
39.3999,-8.2245,0,0,0,2
32.9711,119.455,645,0,631,2
46.8182,8.2275,0,0,0,2
23.885942,45.079162,237803,2283,177560,1
-33.8688,151.2093,3071,45,2605,2
43.6661,126.1923,112,1,103,2
41.377491,64.585262,0,0,0,2
43.9424,12.4578,654,41,203,2
25.025885,-78.035889,0,0,0,2
1.373333,32.290275,646,0,103,2
41.1129,85.2401,76,3,73,2
-11.6455,43.3333,0,0,0,2
16.742498,-62.187366,0,0,0,2
-4.6796,55.492,81,0,11,2
19.3133,-81.2546,187,1,115,2
-23.4425,-58.4438,11,0,0,2
44.0165,21.0059,13792,267,12338,2
17.607789,8.081666,0,0,0,2
14.4974,-14.4524,3130,35,1515,2
0.1864,6.6131,713,13,219,2
31.6927,88.0924,1,0,1,2
11.8251,42.5903,4643,52,4348,2
-33.8688,151.2093,3110,48,2714,2
36.204824,138.252924,23172,984,18126,2
-33.8688,151.2093,1405,7,4,2
-33.8688,151.2093,3429,49,2988,2
-26.5225,31.4659,0,0,0,2
40.0,-100.0,1288587,78497,198993,3
-26.5225,31.4659,9,0,0,2
16.742498,-62.187366,11,1,2,2
47.4116,28.3699,0,0,0,2
34.802075,38.99681500000001,0,0,0,2
53.7267,-127.6476,2990,183,0,2
46.8182,8.2275,0,0,0,2
18.7357,-70.1627,12314,428,5847,2
-29.61,28.2336,91,0,11,2
45.9432,24.9668,21404,1380,15445,2
9.3077,2.3158,0,0,0,2
41.20438,74.766098,554,5,133,2
19.3133,-81.2546,66,1,7,2
17.607789,8.081666,709,31,403,2
6.4238,-66.5897,1211,11,302,2
14.4974,-14.4524,2976,34,1416,2
16.265,-61.551,171,14,157,2
29.1832,120.0934,1268,1,1247,2
31.7917,-7.0926,12636,228,9026,2
-0.228,15.8277,1087,37,456,2
15.552727,48.516388,310,77,13,2
17.357822,-62.782998,0,0,0,2
29.31166,47.481766,2892,19,656,2
14.6415,-61.0242,249,14,98,2
8.460555000000001,-11.779889,534,33,167,2
-13.133897,27.849332,1477,18,1213,2
37.8957,114.9042,1276,22,0,2
38.9637,35.2433,190165,5001,162848,1
9.9456,-9.6966,0,0,0,2
-37.8136,144.9631,1521,18,1385,2
-4.0383,21.7587,0,0,0,2
40.0691,45.0382,27900,477,15935,2
-17.7134,178.065,27,0,18,2
31.046051,34.851612,1,0,0,2
3.9193,-56.0278,0,0,0,2
51.9194,19.1451,2554,43,47,2
-11.2027,17.8739,0,0,0,2
41.377491,64.585262,2612,11,2076,2
41.9029,12.4534,0,0,0,2
-38.4161,-63.6167,2277,102,559,2
23.7,121.0,440,7,387,2
53.9333,-116.5765,9219,167,0,2
12.5211,-69.9683,0,0,0,2
26.3351,17.228331,802,23,206,2
-17.6797,149.4068,60,0,59,2
47.862,127.7615,947,13,934,2
-20.904305,165.618042,21,0,21,2
-33.8688,151.2093,3162,49,2776,2
27.5142,90.4336,1,0,0,2
22.1667,113.55,10,0,6,2
-20.348404,57.552152,332,10,322,2
-12.8275,45.166244,326,4,125,2
53.7267,-127.6476,2376,132,0,2
35.1917,108.8701,253,3,242,2
47.4116,28.3699,2614,72,505,2
15.415,-61.371,18,0,16,2
17.1899,-88.4976,37,2,20,2
37.5777,112.2922,81,0,4,2
17.9,-62.8333,6,0,6,2
6.4238,-66.5897,504,10,241,2
1.373333,32.290275,770,0,578,2
42.708678000000006,19.37439,0,0,0,2
58.5953,25.0136,171,0,1,2
36.1408,-5.3536,151,0,147,2
56.8796,24.6032,0,0,0,2
19.1959,109.7453,168,6,160,2
19.1959,109.7453,168,6,161,2
23.3417,113.4244,1564,8,1458,2
56.2639,9.5018,11811,582,10620,2
20.593684,78.96288,3,0,3,2
41.20438,74.766098,4446,46,2194,2
40.1431,47.5769,8191,98,4606,2
31.046051,34.851612,5358,20,224,2
6.4238,-66.5897,381,10,185,2
35.1917,108.8701,256,3,251,2
19.3133,-81.2546,3,1,0,2
53.1424,-7.6921,5709,210,25,2
55.1694,23.8813,1784,76,1449,2
18.0708,-63.0501,41,3,33,2
9.9456,-9.6966,0,0,0,2
33.93911,67.709953,31836,774,15651,2
13.1939,-59.5432,86,7,67,2
51.2538,-85.3232,36961,2730,0,2
41.2956,122.6085,164,2,150,2
17.570692,-3.996166000000001,650,32,271,2
18.4207,-64.64,8,1,7,2
12.879721,121.774017,9684,637,1408,2
17.357822,-62.782998,11,0,0,2
36.1408,-5.3536,123,0,60,2
35.1917,108.8701,306,3,263,2
-0.228,15.8277,0,0,0,2
23.8298,108.7881,252,2,217,2
46.5653,-66.4619,120,0,0,2
64.8255,-124.8457,0,0,0,2
-37.8136,144.9631,3967,24,2329,2
-22.9576,18.4904,16,0,3,2
8.6195,0.8248,720,15,513,2
41.6086,21.7453,555,18,23,2
47.14,9.55,82,1,81,2
53.7098,27.9534,4779,42,342,2
41.1129,85.2401,10,0,0,2
21.69400000000001,-71.7979,12,1,10,2
52.1326,5.2913,7431,434,0,2
-13.2543,34.3015,41,3,9,2
-17.6797,149.4068,0,0,0,2
24.974,101.487,185,2,183,2
48.3794,31.1656,11411,279,1498,2
-0.228,15.8277,683,22,210,2
14.4974,-14.4524,3836,43,1954,2
15.415,-61.371,12,0,0,2
61.8926,-6.9118,0,0,0,2
18.0708,-63.0501,0,0,0,2
38.861,71.2761,0,0,0,2
45.1,15.2,0,0,0,2
17.1899,-88.4976,18,2,16,2
31.24,36.51,0,0,0,2
41.1129,85.2401,24,0,0,2
15.7835,-90.2308,0,0,0,2
43.9424,12.4578,698,42,656,2
-51.7963,-59.5236,0,0,0,2
41.377491,64.585262,7177,20,4877,2
42.5063,1.5218,0,0,0,2
13.7942,-88.8965,5934,152,3557,2
-13.133897,27.849332,76,3,37,2
22.1667,113.55,45,0,45,2
24.974,101.487,185,2,181,2
45.9432,24.9668,32079,1871,21414,2
35.9375,14.3754,0,0,0,2
41.9029,12.4534,0,0,0,2
48.669,19.699,1496,28,1231,2
37.2692,106.1655,75,0,75,2
42.5063,1.5218,1,0,0,2
16.265,-61.551,174,14,157,2
33.223191,43.679291,13,0,0,2
22.1667,113.55,45,0,32,2
35.9375,14.3754,522,6,443,2
-11.2027,17.8739,86,4,18,2
49.3723,-2.3644,498,28,285,2
55.1694,23.8813,49,0,1,2
53.7609,-98.8139,0,0,0,2
46.1512,14.9955,1477,109,1358,2
15.4542,18.7322,874,74,789,2
7.9465,-1.0232,1042,9,99,2
4.5353,114.7277,56,0,0,2
7.54,-5.5471,1150,14,468,2
-12.4634,130.8456,15,0,0,2
23.8298,108.7881,254,2,252,2
64.2823,-135.0,0,0,0,2
-19.015438,29.154857,2434,34,518,2
17.570692,-3.996166000000001,2467,121,1791,2
47.1625,19.5033,0,0,0,2
42.3154,43.3569,0,0,0,2
46.2276,2.2137,16018,674,2200,2
35.1264,33.4299,991,19,824,2
-29.61,28.2336,4,0,2,2
13.7942,-88.8965,32,1,0,2
17.570692,-3.996166000000001,931,55,543,2
13.7942,-88.8965,0,0,0,2
-29.61,28.2336,0,0,0,2
61.92411,25.748151,400,0,10,2
47.14,9.55,0,0,0,2
16.265,-61.551,0,0,0,2
7.9465,-1.0232,0,0,0,2
18.7357,-70.1627,3755,196,215,2
31.6927,88.0924,1,0,0,2
13.4432,-15.3101,26,1,20,2
48.3794,31.1656,53941,1389,26513,2
18.4207,-64.64,8,1,7,2
-19.015438,29.154857,203,4,29,2
-0.8037,11.6094,24,1,1,2
55.3781,-3.4360000000000004,3072,43,18,2
52.9399,-73.5491,55593,5541,0,2
39.3054,117.323,88,1,4,2
39.549,116.1306,328,6,0,2
19.1959,109.7453,170,6,162,2
64.8255,-124.8457,5,0,0,2
31.9522,35.2332,0,0,0,2
42.3154,43.3569,757,12,600,2
41.87194,12.56738,241419,34854,191944,1
28.1667,84.25,1,0,1,2
-11.2027,17.8739,0,0,0,2
49.8153,6.1296,3115,52,500,2
-31.9505,115.8605,658,9,644,2
46.1512,14.9955,1953,113,1603,2
56.8796,24.6032,280,0,1,2
40.0,-100.0,13,0,3,2
-4.6796,55.492,108,0,27,2
47.5162,14.5501,17380,690,16241,2
-0.0236,37.9062,2021,69,482,2
27.614,115.7221,937,1,935,2
17.0608,-61.7964,26,3,22,2
26.3351,17.228331,1268,36,306,2
49.8175,15.473,0,0,0,2
-17.6797,149.4068,60,0,60,2
45.1,15.2,2539,107,2150,2
21.9162,95.956,232,6,143,2
16.265,-61.551,53,0,0,2
-8.874217,125.727539,0,0,0,2
40.1431,47.5769,122,3,15,2
52.1326,5.2913,44249,5715,0,2
-18.766947,46.869107,698,5,164,2
-13.2543,34.3015,1613,17,317,2
3.9193,-56.0278,389,10,181,2
12.1696,-68.99,16,1,14,2
43.9424,12.4578,623,41,114,2
13.4432,-15.3101,3,1,0,2
32.427908,53.68804599999999,53183,3294,17935,2
12.879721,121.774017,3,1,1,2
25.3548,51.1839,83174,82,62172,2
6.877000000000002,31.307,1,0,0,2
17.0608,-61.7964,25,3,19,2
44.0935,113.9448,75,1,70,2
47.1625,19.5033,0,0,0,2
41.2956,122.6085,149,2,147,2
-21.1151,55.5364,358,0,40,2
10.6918,-61.2225,133,8,124,2
48.669,19.699,204,0,7,2
-1.9403,29.8739,377,1,262,2
17.9,-62.8333,3,0,0,2
50.8333,4.469936,15348,1011,2495,2
-11.2027,17.8739,0,0,0,2
15.1794,39.7823,34,0,0,2
-20.904305,165.618042,18,0,1,2
37.5777,112.2922,133,0,133,2
37.5777,112.2922,27,0,1,2
14.6415,-61.0242,249,14,98,2
33.223191,43.679291,2767,109,1734,2
20.593684,78.96288,3,0,3,2
47.4116,28.3699,20794,680,14183,2
51.165691,10.451526,192480,8914,175825,1
58.5953,25.0136,0,0,0,2
18.9712,-72.2852,0,0,0,2
31.8257,117.2264,991,6,985,2
-35.4735,149.0124,107,3,104,2
47.4116,28.3699,0,0,0,2
39.3999,-8.2245,11278,295,75,2
32.9711,119.455,653,0,646,2
39.0742,21.8243,2937,179,1374,2
-35.6751,-71.543,4665,34,618,2
52.9399,-106.4509,0,0,0,2
-33.8688,151.2093,3144,48,2771,2
15.415,-61.371,0,0,0,2
31.8257,117.2264,991,6,985,2
23.7,121.0,449,7,438,2
52.1326,5.2913,50273,6113,0,2
33.886917,9.537499,0,0,0,2
4.5709,-74.2973,0,0,0,2
32.3078,-64.7505,35,0,14,2
19.85627,102.495496,19,0,13,2
52.9399,-106.4509,156,2,0,2
49.8153,6.1296,0,0,0,2
18.4207,-64.64,3,0,0,2
0.1864,6.6131,721,13,269,2
11.8037,-15.1804,205,1,19,2
21.512583,55.92325500000001,41194,185,24162,2
17.570692,-3.996166000000001,860,52,494,2
23.7,121.0,440,7,398,2
18.9712,-72.2852,533,21,21,2
-4.6796,55.492,0,0,0,2
33.8547,35.8623,886,26,236,2
35.90775700000001,127.766922,13417,289,12178,2
35.1917,108.8701,3,0,0,2
39.3054,117.323,203,3,195,2
30.3753,69.3451,10076,212,2156,2
-35.4735,149.0124,103,2,72,2
46.8625,103.8467,141,0,33,2
61.92411,25.748151,7301,329,6800,2
18.2206,-63.0686,0,0,0,2
23.7,121.0,376,5,57,2
37.2692,106.1655,75,0,75,2
41.6086,21.7453,1511,84,945,2
-4.6796,55.492,0,0,0,2
23.3417,113.4244,1643,8,1631,2
19.85627,102.495496,0,0,0,2
1.2833,103.8333,49098,27,45015,2
35.9375,14.3754,412,3,82,2
8.460555000000001,-11.779889,0,0,0,2
-12.8275,45.166244,0,0,0,2
54.2361,-4.5481,13,0,0,2
-1.9403,29.8739,1,0,0,2
3.848,11.5021,2,0,0,2
-9.19,-75.0152,67307,1889,21349,2
-13.2543,34.3015,1613,17,317,2
33.93911,67.709953,24102,451,4201,2
16.5388,-23.0418,328,3,84,2
7.54,-5.5471,2477,30,1286,2
19.1959,109.7453,168,5,151,2
41.1533,20.1683,3038,81,1744,2
10.6918,-61.2225,116,8,103,2
47.5162,14.5501,17941,705,16514,2
15.2,-86.2419,52,1,0,2
42.3154,43.3569,13,0,0,2
-13.133897,27.849332,0,0,0,2
41.2956,122.6085,157,2,150,2
11.55,104.9167,1,0,0,2
64.2823,-135.0,0,0,0,2
23.8298,108.7881,254,2,252,2
-13.133897,27.849332,1497,18,1223,2
8.460555000000001,-11.779889,0,0,0,2
28.0339,1.6596,48,4,12,2
23.7,121.0,45,1,15,2
13.9094,-60.9789,18,0,18,2
-18.665695,35.529562,0,0,0,2
31.24,36.51,34,0,1,2
23.3417,113.4244,1588,8,1557,2
21.521757,-77.78116700000002,0,0,0,2
29.31166,47.481766,43,0,0,2
8.6195,0.8248,0,0,0,2
43.7333,7.4167,0,0,0,2
-18.766947,46.869107,0,0,0,2
22.1667,113.55,10,0,1,2
40.0,-100.0,2467554,125631,670809,0
32.3078,-64.7505,0,0,0,2
46.8852,-56.3159,1,0,1,2
-18.766947,46.869107,3782,33,1950,2
-3.3731,29.9189,11,1,4,2
24.974,101.487,172,0,57,2
33.223191,43.679291,6868,215,3275,2
4.210483999999999,101.975766,7185,115,5912,2
64.8255,-124.8457,5,0,0,2
17.570692,-3.996166000000001,1059,67,604,2
-37.8136,144.9631,4,0,4,2
8.538,-80.7821,1475,37,10,2
35.7452,95.9956,18,0,18,2
30.9756,112.2707,68128,4512,63616,2
32.9711,119.455,655,0,654,2
-22.9576,18.4904,0,0,0,2
12.1165,-61.679,23,0,23,2
-18.766947,46.869107,7049,59,3498,2
54.2361,-4.5481,0,0,0,2
53.7098,27.9534,22052,126,6050,2
30.3753,69.3451,1201,9,21,2
